idx,k_n,k_c,sN,sA,sAA,bP,bQ,bA,score
322,5,40,2.8,0.1,7,2.5,0.2,2.1,0.0004916312500000001
323,5,40,2.8,0.1,7,2.5,0.2,2.2,0.00039105
324,5,40,2.8,0.1,7,2.5,0.2,2.3,0.0
325,5,40,2.8,0.1,7,2.5,0.0,2.0,0.00034623125
326,5,40,2.8,0.1,7,2.5,0.0,2.1,0.0002770624999999999
327,5,40,2.8,0.1,7,2.5,0.0,2.2,0.0002773999999999999
328,5,40,2.8,0.1,7,2.5,0.0,2.3,0.00030096249999999995
329,5,40,2.8,0.1,7,3.0,0.2,2.0,0.005063796875000002
330,5,40,2.8,0.1,7,3.0,0.2,2.1,0.005947496875
331,5,40,2.8,0.1,7,3.0,0.2,2.2,0.005424125000000002
332,5,40,2.8,0.1,7,3.0,0.2,2.3,0.0060613281249999994
333,5,40,2.8,0.1,7,3.0,0.0,2.0,0.004645487499999998
334,5,40,2.8,0.1,7,3.0,0.0,2.1,0.005110124999999997
335,5,40,2.8,0.1,7,3.0,0.0,2.2,0.005343003125000001
336,5,40,2.8,0.1,7,3.0,0.0,2.3,0.005738571875000003
337,5,40,3.0,0.1,5,2.5,0.2,2.0,0.0
338,5,40,3.0,0.1,5,2.5,0.2,2.1,0.0
339,5,40,3.0,0.1,5,2.5,0.2,2.2,0.0
340,5,40,3.0,0.1,5,2.5,0.2,2.3,0.0
341,5,40,3.0,0.1,5,2.5,0.0,2.0,0.0
342,5,40,3.0,0.1,5,2.5,0.0,2.1,0.0
343,5,40,3.0,0.1,5,2.5,0.0,2.2,0.0
344,5,40,3.0,0.1,5,2.5,0.0,2.3,0.0
345,5,40,3.0,0.1,5,3.0,0.2,2.0,0.0
346,5,40,3.0,0.1,5,3.0,0.2,2.1,0.0
347,5,40,3.0,0.1,5,3.0,0.2,2.2,0.0
348,5,40,3.0,0.1,5,3.0,0.2,2.3,0.0
349,5,40,3.0,0.1,5,3.0,0.0,2.0,0.007932253124999998
350,5,40,3.0,0.1,5,3.0,0.0,2.1,0.008637643750000002
351,5,40,3.0,0.1,5,3.0,0.0,2.2,0.008941953124999997
352,5,40,3.0,0.1,5,3.0,0.0,2.3,0.010463084375
353,5,40,3.0,0.1,6,2.5,0.2,2.0,0.0
354,5,40,3.0,0.1,6,2.5,0.2,2.1,0.0
355,5,40,3.0,0.1,6,2.5,0.2,2.2,0.0
356,5,40,3.0,0.1,6,2.5,0.2,2.3,0.0
357,5,40,3.0,0.1,6,2.5,0.0,2.0,0.0
358,5,40,3.0,0.1,6,2.5,0.0,2.1,0.0
359,5,40,3.0,0.1,6,2.5,0.0,2.2,0.0
360,5,40,3.0,0.1,6,2.5,0.0,2.3,0.000524096875
361,5,40,3.0,0.1,6,3.0,0.2,2.0,0.0
362,5,40,3.0,0.1,6,3.0,0.2,2.1,0.0
363,5,40,3.0,0.1,6,3.0,0.2,2.2,0.0002674499999999999
364,5,40,3.0,0.1,6,3.0,0.2,2.3,0.0
365,5,40,3.0,0.1,6,3.0,0.0,2.0,0.00609710625
366,5,40,3.0,0.1,6,3.0,0.0,2.1,0.006040453124999994
367,5,40,3.0,0.1,6,3.0,0.0,2.2,0.006127521874999998
368,5,40,3.0,0.1,6,3.0,0.0,2.3,0.007383578125000003
369,5,40,3.0,0.1,7,2.5,0.2,2.0,0.00025248749999999987
370,5,40,3.0,0.1,7,2.5,0.2,2.1,0.0
371,5,40,3.0,0.1,7,2.5,0.2,2.2,0.0002604749999999999
372,5,40,3.0,0.1,7,2.5,0.2,2.3,0.0
373,5,40,3.0,0.1,7,2.5,0.0,2.0,0.0
374,5,40,3.0,0.1,7,2.5,0.0,2.1,0.0
375,5,40,3.0,0.1,7,2.5,0.0,2.2,0.00028979375
376,5,40,3.0,0.1,7,2.5,0.0,2.3,0.00036424375
377,5,40,3.0,0.1,7,3.0,0.2,2.0,0.0003978874999999999
378,5,40,3.0,0.1,7,3.0,0.2,2.1,0.00026202499999999993
379,5,40,3.0,0.1,7,3.0,0.2,2.2,0.0002871312499999999
380,5,40,3.0,0.1,7,3.0,0.2,2.3,0.0
381,5,40,3.0,0.1,7,3.0,0.0,2.0,0.006862112499999998
382,5,40,3.0,0.1,7,3.0,0.0,2.1,0.006018743750000001
383,5,40,3.0,0.1,7,3.0,0.0,2.2,0.005208928124999998
384,5,40,3.0,0.1,7,3.0,0.0,2.3,0.004480499999999997
385,5,40,3.2,0.1,5,2.5,0.2,2.0,0.0
386,5,40,3.2,0.1,5,2.5,0.2,2.1,0.0
387,5,40,3.2,0.1,5,2.5,0.2,2.2,0.0
388,5,40,3.2,0.1,5,2.5,0.2,2.3,0.0
389,5,40,3.2,0.1,5,2.5,0.0,2.0,0.0
390,5,40,3.2,0.1,5,2.5,0.0,2.1,0.0
391,5,40,3.2,0.1,5,2.5,0.0,2.2,0.0
392,5,40,3.2,0.1,5,2.5,0.0,2.3,0.0
393,5,40,3.2,0.1,5,3.0,0.2,2.0,0.0
394,5,40,3.2,0.1,5,3.0,0.2,2.1,0.0
395,5,40,3.2,0.1,5,3.0,0.2,2.2,0.0
396,5,40,3.2,0.1,5,3.0,0.2,2.3,0.0
397,5,40,3.2,0.1,5,3.0,0.0,2.0,0.0
398,5,40,3.2,0.1,5,3.0,0.0,2.1,0.0
399,5,40,3.2,0.1,5,3.0,0.0,2.2,0.0
400,5,40,3.2,0.1,5,3.0,0.0,2.3,0.0
